text,link
Overweight and obesity management - quality standard,https://www.nice.org.uk/guidance/qs212
Headaches in over 12s: diagnosis and management ,https://www.nice.org.uk/guidance/cg150
Diagnosis and management of pituitary adenomas in childhood and adolescence,https://www.cclg.org.uk/guidelines/pituitary-adenomas
Maternal and child nutrition: nutrition and weight management in pregnancy&nbsp;and nutrition in children up to 5 years,https://www.nice.org.uk/guidance/ng247
Overweight and obesity management ,https://www.nice.org.uk/guidance/ng246
Diagnosis of death by neurological criteria (DNC) in infants children and adolescents&nbsp;,https://www.rcpch.ac.uk/resources/diagnosis-death-neurological-criteria-dnc-infants-less-two-months-old-clinical-guideline
Retinopathy of prematurity: Screening,https://www.rcpch.ac.uk/rop
Sepsis: recognition diagnosis and early management,https://www.nice.org.uk/guidance/ng51
Asthma: diagnosis monitoring and chronic asthma management,https://www.nice.org.uk/guidance/ng245/chapter/Rationale-and-impact
Acute kidney injury: prevention detection and management,https://www.nice.org.uk/guidance/ng148/chapter/Update-information
Neonatal infection (NICE QS75 2024),https://www.nice.org.uk/guidance/qs75
Epileps,https://www.nice.org.uk/guidance/qs27
ies in children young people and adults (NICE QS211 2023),https://www.nice.org.uk/guidance/qs211
nitial management of IgA vasculitis (Henoch Schönlein Purpura) in children and young people,https://ukkidney.org/sites/renal.org/files/R2vFINAL_IgA%20vasculitis%20-%20initial%20management220523.pdf
Occupational therapy and play (RCOT 2023),https://www.rcot.co.uk/practice-resources/rcot-practice-guidelines/occupational-therapy-and-play-practice-guidelines
Attention deficit hyperactivity disorder (NICE QS39 updated 2018<u>)</u>,https://www.nice.org.uk/guidance/qs39
Attention deficit hyperactivity disorder: diagnosis and management (NICE NG87 updated 2019),https://www.nice.org.uk/guidance/ng87
Alcohol-use disorders: diagnosis and management of physical complications (NICE CG100 updated 2017),https://www.nice.org.uk/guidance/cg100
Alcohol-use disorders: diagnosis assessment and management of harmful drinking and alcohol dependence (NICE CG115 reviewed 2019),https://www.nice.org.uk/guidance/cg115
Children and young people exposed prenatally to alcohol (SIGN 156 2019,https://www.sign.ac.uk/our-guidelines/children-and-young-people-exposed-prenatally-to-alcohol/
),https://www.sign.ac.uk/our-guidelines/children-and-young-people-exposed-prenatally-to-alcohol/
Fetal alcohol spectrum disorder (NICE QS204 2022),https://www.nice.org.uk/guidance/qs204
Anaphylaxis: assessment and referral after emergency treatment (NICE CG134 reviewed 2016),https://www.nice.org.uk/guidance/cg134
Adrenal insufficiency: identification and management,https://www.nice.org.uk/guidance/ng243
Antimicrobial stewardship (NICE QS121 2016),https://www.nice.org.uk/guidance/qs121
Antimicrobial stewardship: systems and processes for effective antimicrobial medicine use (NICE NG15 2015),https://www.nice.org.uk/guidance/ng15
Atopic eczema in under 12s: diagnosis and management (NICE CG57 updated 2023),https://www.nice.org.uk/guidance/cg57
Drug allergy (NICE QS97 2015),https://www.nice.org.uk/guidance/qs97
Fever in under 5s (NICE QS64 2014),https://www.nice.org.uk/guidance/qs64
Fever in under 5s: assessment and initial management (NICE NG143 updated 2021),https://www.nice.org.uk/guidance/ng143
Flu vaccination: increasing uptake (NICE NG103 2018),https://www.nice.org.uk/guidance/ng103
Flu vaccination: increasing uptake (NICE QS190 2020),https://www.nice.org.uk/guidance/qs190
Food allergy (NICE QS118 2016),https://www.nice.org.uk/guidance/qs118
Food allergy in under 19s: assessment and diagnosis (NICE CG116 reviewed 2018),https://www.nice.org.uk/guidance/cg116
Vaccine uptake in the general population (NICE NG218 updated 2022),https://www.nice.org.uk/guidance/NG218
Hepatitis B (chronic): diagnosis and management (NICE CG165 updated 2017),https://www.nice.org.uk/guidance/cg165
Management of atopic eczema in primary care ,https://www.sign.ac.uk/our-guidelines/management-of-atopic-eczema-in-primary-care/
8a&nbsp;(NICE PH21 updated 2017),https://www.nice.org.uk/guidance/NG218
(SIGN 125 2011),https://www.sign.ac.uk/our-guidelines/management-of-atopic-eczema-in-primary-care/
Management of hepatitis C (SIGN 133 2013),https://www.sign.ac.uk/our-guidelines/management-of-hepatitis-c/
Sinusitis (acute),https://www.nice.org.uk/guidance/ng79
: antimicrobial prescribing (NICE NG79 2017),https://www.nice.org.uk/guidance/ng79
Meningitis (bacterial) and meningococcal septicaemia in children and young people (NICE QS19 2012),https://www.nice.org.uk/guidance/qs19
Meningitis (bacterial) and meningococcal septicaemia in under 16s: recognition diagnosis and management (NICE CG102 reviewed 2018),https://www.nice.org.uk/guidance/cg102
Paediatrics allergy action care plans (BSACI updated 2018),https://www.bsaci.org/wp-content/uploads/2020/02/BSACIAllergyActionPlan2018NoAAI2981-2.pdf
Prophylaxis against infective endocarditis: antimicrobial prophylaxis against infective endocarditis in adults and children undergoing interventional procedures (NICE CG64 updated 2016),https://www.nice.org.uk/guidance/cg64
Pyelonephritis (acute): antimicrobial prescribing (NICE NG111 2018),https://www.nice.org.uk/guidance/ng111
Surgical site infections: prevention and treatment (NICE NG125 2020),https://www.nice.org.uk/guidance/ng125
Vaccine uptake in under 19s (NICE QS145 2017),https://www.nice.org.uk/guidance/qs145
Antenatal care (NICE NG201 2021),https://www.nice.org.uk/guidance/ng201
Antenatal care (NICE QS22 updated 2023),https://www.nice.org.uk/guidance/qs22
Neonatal infection: antibiotics for prevention and treatment,https://www.nice.org.uk/guidance/ng193
 (NICE NG195 updated March 2024),https://www.nice.org.uk/guidance/ng195
Neonatal infection (NICE QS75 2014),https://www.nice.org.uk/guidance/qs75
Antimicrobial stewardship (NICE QS121 2016),https://www.nice.org.uk/guidance/qs121
Antimicrobial stewardship: systems and processes for effective antimicrobial medicine use (NICE NG15 2015),https://www.nice.org.uk/guidance/ng15
Cellulitis and erysipelas: antimicrobial prescribing (NICE NG141 2019),https://www.nice.org.uk/guidance/NG141
Clostridioides difficile infection: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng153
 (NICE NG199 2021),https://www.nice.org.uk/guidance/ng199
Human and animal bites: antimicrobial prescribing (NICE NG184 2020),https://www.nice.org.uk/guidance/ng184
Impetigo: antimicrobial prescribing (NICE NG153 2020),https://www.nice.org.uk/guidance/ng153
Insect bites and stings: antimicrobial prescribing (NICE NG182 2020),https://www.nice.org.uk/guidance/ng182
Prophylaxis against infective endocarditis: antimicrobial prophylaxis against infective endocarditis in adults and children undergoing interventional procedures (NICE CG64 updated 2016),https://www.nice.org.uk/guidance/cg64
Pyelonephritis (acute): antimicrobial prescribing (NICE NG111 2018),https://www.nice.org.uk/guidance/ng111
Sinusitis (acute),https://www.nice.org.uk/guidance/ng79
: antimicrobial prescribing (NICE NG79 2017),https://www.nice.org.uk/guidance/ng79
Neonatal infection (NICE QS75 2024),https://www.nice.org.uk/guidance/qs75
Neonatal infection: antibiotics for prevention and treatment,https://www.nice.org.uk/guidance/ng193
 (NICE NG195 2021),https://www.nice.org.uk/guidance/ng195
Otitis media (acute): antimicrobial prescribing (NICE NG91 updated 2022),https://www.nice.org.uk/guidance/NG91
Urinary tract infection (recurrent): antimicrobial prescribing,https://www.nice.org.uk/guidance/ng112
Asthma (NICE QS25 updated 2018),https://www.nice.org.uk/guidance/qs25
Asthma: diagnosis monitoring and chronic asthma management (NICE NG80 updated 2021),https://www.nice.org.uk/guidance/ng80
British guideline on the management of asthma (SIGN 158 updated 2019),https://www.sign.ac.uk/our-guidelines/british-guideline-on-the-management-of-asthma/
Children’s attachment: attachment in children and young people who are adopted from care in care or at high risk of going into care (NICE NG26 2015),https://www.nice.org.uk/guidance/ng26
Children's attachment (NICE QS133 2016),https://www.nice.org.uk/guidance/qs133
Otitis media (acute): antimicrobial prescribing (NICE NG91 updated 2022),https://www.nice.org.uk/guidance/NG91
Otitis media with effusion in under 12s (NICE NG233 2023),https://www.nice.org.uk/guidance/ng233
Tinnitus: assessment and management (NICE NG155 2020),https://www.nice.org.uk/guidance/ng155
Assessment diagnosis and interventions for autism spectrum disorders (SIGN 145 2016),https://www.sign.ac.uk/our-guidelines/assessment-diagnosis-and-interventions-for-autism-spectrum-disorders/
Autism (NICE QS51 2014),https://www.nice.org.uk/guidance/qs51
Autism spectrum disorder in under 19s: recognition referral and diagnosis (NICE CG128 updated 2021),https://www.nice.org.uk/guidance/cg128
Autism spectrum disorder in under 19s: support and management (NICE CG170 updated 2021,https://www.nice.org.uk/guidance/cg170
Low back pain and sciatica in over 16s (NICE QS155 2017),https://www.nice.org.uk/guidance/qs155
Low back pain and sciatica in over 16s: assessment and management (NICE NG59 updated 2020),https://www.nice.org.uk/guidance/ng59
Bipolar disorder: assessment and management (NICE CG185 updated 2020),https://www.nice.org.uk/guidance/cg185
Bipolar disorder psychosis and schizophrenia in children and young people (NICE QS102 2015),https://www.nice.org.uk/guidance/qs102
Bronchiolitis in children (NICE QS122 2016),https://www.nice.org.uk/guidance/qs122
Bronchiolitis in children: diagnosis and management (NICE NG9 updated 2021),https://www.nice.org.uk/guidance/ng9
Cerebral palsy in children and young people (NICE QS162 2017),https://www.nice.org.uk/guidance/qs162
Cerebral palsy in under 25s: assessment and management (NICE NG62 2017),https://www.nice.org.uk/guidance/ng62
Myalgic encephalomyelitis (or encephalopathy)/chronic fatigue syndrome: diagnosis and management (NICE NG206 2021),https://www.rcpch.ac.uk/news-events/news/member-briefing-nice-guideline-me-cfs
Palate examination: identification of cleft palate in the newborn - best practice guide (RCPCH 2015,https://www.rcpch.ac.uk/resources/palate-examination-identification-cleft-palate-newborn-best-practice-guide
Coeliac disease (NICE QS134 2016),https://www.nice.org.uk/guidance/qs134
Coeliac disease: recognition assessment and management (NICE NG20 reviewed 2019),https://www.nice.org.uk/guidance/ng20
Antisocial behaviour and conduct disorders in children and young people (NICE QS59 2014),https://www.nice.org.uk/guidance/qs59
Antisocial behaviour and conduct disorders in children and young people: recognition and management (NICE CG158 updated 2017),https://www.nice.org.uk/guidance/cg158
Constipation in children and young people (NICE QS62 2014),https://www.nice.org.uk/guidance/qs62
Constipation in children and young people: diagnosis and management (NICE CG99 updated 2017),https://www.nice.org.uk/guidance/cg99
Quality standards for cardiopulmonary resuscitation and training (RESUS Council updated 2018),https://www.resus.org.uk/quality-standards/
Cystic fibrosis (NICE QS168 2018),https://www.nice.org.uk/guidance/qs168
Cystic fibrosis: diagnosis and management (NICE NG78 2017),https://www.nice.org.uk/guidance/ng78
Guidelines for the performance of the sweat test for the investigation of cystic fibrosis in the UK (Cystic Fibrosis Trust 2014),https://www.acb.org.uk/resource/guidelines-for-the-performance-of-the-sweat-test-for-the-investigation-of-cystic-fibrosis.html
Dental interventions to prevent caries in children (SIGN 138 2014),https://www.sign.ac.uk/our-guidelines/dental-interventions-to-prevent-caries-in-children/
Depression in children and young people (NICE QS48 2013),https://www.nice.org.uk/guidance/qs48
Depression in children and young people: identification and management (NICE NG134 updated 2019),https://www.nice.org.uk/guidance/ng134
Acne vulgaris: management (NICE NG198 2021),https://www.nice.org.uk/guidance/ng198
Cellulitis and erysipelas: antimicrobial prescribing (NICE NG141 2019),https://www.nice.org.uk/guidance/NG141
Impetigo: antimicrobial prescribing (NICE NG153 2020),https://www.nice.org.uk/guidance/ng153
Insect bites and stings: antimicrobial prescribing (NICE NG182 2020),https://www.nice.org.uk/guidance/ng182
Psoriasis: assessment and management (NICE CG153 updated 2017),https://www.nice.org.uk/guidance/cg153
Secondary bacterial infection of eczema and other common skin conditions: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng190
 (NICE NG190 2021),https://www.nice.org.uk/guidance/ng190
Developmental follow-up of children and young people born preterm (NICE NG72 2017),https://www.nice.org.uk/guidance/ng72
Developmental follow-up of children and young people born preterm (NICE QS169 2018),https://www.nice.org.uk/guidance/qs169
Diabetes (type 1 and type 2) in children and young people: diagnosis and management (NICE NG18 updated 2023),https://www.nice.org.uk/guidance/ng18
Diabetes in children and young people (NICE QS125 2016),https://www.nice.org.uk/guidance/qs125
Diabetes in pregnancy: management from preconception to the postnatal period (NICE NG3 updated 2020),https://www.nice.org.uk/guidance/ng3
Diabetes in pregnancy (NICE QS109 updated 2023) ,https://www.nice.org.uk/guidance/qs109
Diabetic foot problems: prevention and management (NICE NG19 updated 2023),https://www.nice.org.uk/guidance/ng19
Management of diabetes (SIGN 116 and 154 updated 2017),https://www.sign.ac.uk/our-guidelines/management-of-diabetes/
Diarrhoea and vomiting caused by gastroenteritis in under 5s: diagnosis and management (NICE CG84 reviewed 2018),https://www.nice.org.uk/guidance/cg84
Donor milk banks: service operation (NICE CG93 reviewed 2018),https://www.nice.org.uk/guidance/cg93
Early years: promoting health and wellbeing in under 5s (NICE QS128 2016),https://www.nice.org.uk/guidance/qs128
Eating disorders (NICE QS175 2018),https://www.nice.org.uk/guidance/qs175
Eating disorders: recognition and treatment (NICE NG69 updated 2020),https://www.nice.org.uk/guidance/ng69
Medical emergencies in eating disorders: guidance on recognition and management (RCPSYCH 2022),https://www.rcpsych.ac.uk/improving-care/campaigning-for-better-mental-health-policy/college-reports/2022-college-reports/cr233
Atopic eczema in under 12s (NICE QS44 2013),https://www.nice.org.uk/guidance/qs44
Atopic eczema in under 12s: diagnosis and management (NICE CG57 updated 2023),https://www.nice.org.uk/guidance/cg57
Management of atopic eczema in primary care (SIGN 125 2011),https://www.sign.ac.uk/our-guidelines/management-of-atopic-eczema-in-primary-care/
Secondary bacterial infection of eczema and other common skin conditions: antimicrobial prescribing,https://www.nice.org.uk/guidance/ng190
 (NICE NG190 2021),https://www.nice.org.uk/guidance/ng190
Human and animal bites: antimicrobial prescribing (NICE NG184 2020),https://www.nice.org.uk/guidance/ng184
Major trauma: assessment and initial management (NICE NG39 2016),https://www.nice.org.uk/guidance/ng39
Major trauma: service delivery (NICE NG40 2016),https://www.nice.org.uk/guidance/ng40
Suspected neurological conditions: recognition and referral (NICE QS198 2021),https://www.nice.org.uk/guidance/qs198
Trauma (NICE QS166 2018),https://www.nice.org.uk/guidance/qs166
End of life care for infants children and young people (NICE QS160 2017),https://www.nice.org.uk/guidance/qs160
End of life care for infants children and young people with life-limiting conditions: planning and management (NICE NG61 updated 2019),https://www.nice.org.uk/guidance/ng61
COVID-19 rapid guideline: managing COVID-19 (NICE NG191 2024),https://www.nice.org.uk/guidance/ng187
Diabetes (type 1 and type 2) in children and young people: diagnosis and management (NICE NG18 updated 2020),https://www.nice.org.uk/guidance/ng18
Diabetes in children and young people (NICE QS125 2016),https://www.nice.org.uk/guidance/qs125
Diabetes in pregnancy: management from preconception to the postnatal period (NICE NG3 updated 2020),https://www.nice.org.uk/guidance/ng3
Diabetic foot problems: prevention and management (NICE NG19 updated 2019),https://www.nice.org.uk/guidance/ng19
Diagnosis and management of pituitary adenomas in childhood and adolescence,https://www.cclg.org.uk/guidelines/pituitary-adenomas
Faltering growth (NICE QS197 2020),https://www.nice.org.uk/guidance/qs197
Faltering growth: recognition and management of faltering growth in children (NICE NG75 2017),https://www.nice.org.uk/guidance/ng75
Familial hypercholesterolaemia: identification and management (NICE CG71 updated 2019),https://www.nice.org.uk/guidance/cg71
Guidelines for the management of children and young people (CYP) aged &lt;19 years with Craniopharyngioma (CCLG 2021),https://www.cclg.org.uk/guidelines/endocrine/craniopharyngioma
Investigation and management of Idiopathic thickened pituitary stalk (iTPS) and/or idiopathic central diabetes insipidus (CDI) (CCLG 2021),https://www.cclg.org.uk/guidelines/endocrine/TPS-and-CDI
Management of diabetes (SIGN 116 and 154 updated 2017),https://www.sign.ac.uk/our-guidelines/management-of-diabetes/
